펀드상품명,펀드코드,펀드유형,보험 상품명
ETF글로벌신성장주식형,KLVL34001NL,해외주식군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌IT소프트웨어주식형,KLVL34001NS,해외주식군,온라인 변액저축보험2105(변액유니버셜보험)
ETF글로벌주식형,KLVL34001ND,해외주식군,온라인 변액저축보험2105(변액유니버셜보험)
더나은미래글로벌ESG주식형,KLVL34001NT,해외주식군,온라인 변액저축보험2105(변액유니버셜보험)
[인덱스ETF]미국나스닥100,KLVL34001NU,해외주식군,온라인 변액저축보험2105(변액유니버셜보험)
가치주식형,KLVL3400W22,국내주식군,온라인 변액저축보험2105(변액유니버셜보험)
인덱스주식형,KLVL34000NB,국내주식군,온라인 변액저축보험2105(변액유니버셜보험)
배당주식형,KLVL3400W21,국내주식군,온라인 변액저축보험2105(변액유니버셜보험)
AI국내주식전략형,KLVL34001NA,국내주식군,온라인 변액저축보험2105(변액유니버셜보험)
성장형,KLVL3400V11,국내주식군,온라인 변액저축보험2105(변액유니버셜보험)
ETF국내신성장주식형,KLVL34000N3,국내주식군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌멀티전략형,KLVL34000NP,대안투자군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌인프라부동산형,KLVL34001OA,대안투자군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌커머더티,KLVL3400V18,대안투자군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌MVP60,KLVL34000NR,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌MVP30,KLVL34000NS,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
TDF2035,KLVL3400W16,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
글로벌MVP주식형,KLVL34001NI,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
목표수익추구형M(중립),KLVL3400W24,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
목표수익추구형A(적극),KLVL3400W48,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
ETF글로벌MVP60,KLVL34001NF,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
ETF글로벌MVP30,KLVL34001NH,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
ETF글로벌MVP채권형,KLVL34001NG,포트폴리오군,온라인 변액저축보험2105(변액유니버셜보험)
